 CONCEPTO ; TOTAL ;% DE PARTICIPACIÓN
DÓLAR (US/SUC) ;37.831.855,13;60,18%
CANASTA DE MONEDAS (BID) ; -   ;0,00%
EURO (CEE) ;186.323,33;0,30%
YEN (JAPON) JPY ;20.987,21;0,03%
DERECHO ESPECIAL DE GIRO (SDR) ;6.188.083,52;9,84%
LIBRA (REINO UNIDO) GBP ;298,26;0,00%
DÓLAR (CANADA) CAD ;260,46;0,00%
WON (KOREA) KRW ;81.626,19;0,13%
(R.P.CHINA) CNY  ;715.579,28;1,14%
FRANCO (SUIZA) CHF ;86.379,20;0,14%
KORONA (DINAMARCA) DKK ;0;0,00%
OTRAS MONEDAS  ;0;0,00%
TOTAL DEUDA EXTERNA  ;45.111.392,57;71,77%
DÓLAR (US) ;17.748.047,42;28,23%
SUCRE (ECUADOR) ; -   ;0,00%
UNIDAD VALOR CONSTANTE  ; -   ;0,00%
TOTAL DEUDA INTERNA  ;17.748.047,42;28,23%
TOTAL DEUDA PUBLICA ;62.859.439,98;100,00%
